UNIPROT	gene_name	difference	significant	logpval
P04217	A1BG	-0.334027632787916	NA	1.26164129289795
P01023	A2M	-0.515287827602637	NA	1.39364809637016
A8K2U0	A2ML1	-5.36038825543433	+	1.99999991695672
Q9NRG9	AAAS	-0.642786781341221	NA	1.47963753846831
Q86V21	AACS	0.373910483077776	NA	0.708470916880084
Q8N5Z0	AADAT	-2.05193409632774	+	1.95982393233192
Q6PD74	AAGAB	1.14254903541274	NA	0.253225875898874
Q2M2I8	AAK1	0.256364718690967	NA	0.797669228116528
Q9H7C9	AAMDC	0.571081762278785	NA	0.567944220612034
Q13685	AAMP	0.879139982004499	NA	0.379325381619254
Q9Y312	AAR2	0.05975418255203	NA	0.952351417356569
Q5JTZ9	AARS2	0.410218596346927	NA	0.681645600468486
Q9BTE6	AARSD1	1.0219892770673	NA	0.306785975563316
Q9NRN7	AASDHPPT	0.508699096623293	NA	0.610963155716423
Q9UDR5	AASS	-0.243747999794351	NA	1.19257400416593
Q9NY61	AATF	-0.828042270473203	NA	1.59235343860317
P80404	ABAT	0.710987156265708	NA	0.477092194847599
O95477	ABCA1	-0.779958552900543	NA	1.56458472825451
Q86UK0	ABCA12	0.504563616540513	NA	0.61386536966396
Q86UQ4	ABCA13	0.254752582387511	NA	0.798914200851689
Q9BZC7	ABCA2	-0.593581577644417	NA	1.4472079943483
Q99758	ABCA3	-0.0441935625795365	NA	1.03524988664071
Q8N139	ABCA6	-1.02458271372938	NA	1.69443987561125
O94911	ABCA8	-0.535124113423428	NA	1.40743596329182
P08183	ABCB1	2.10247106479697	+	0.0355120317392897
Q9NRK6	ABCB10	0.0605952971451377	NA	0.951681518977955
Q2M3G0	ABCB5	1.70448367649148	NA	0.0882907630946174
Q9NP58	ABCB6	0.551315569340752	NA	0.581417367362977
O75027	ABCB7	-0.175232206897449	NA	1.13910282160267
Q9NUT2	ABCB8	0.288116794580785	NA	0.773257337253112
P33527	ABCC1	-0.164543042276704	NA	1.13069633436793
Q5T3U5	ABCC10	0.141552576731759	NA	0.887433427907758
Q96J66	ABCC11	-1.36915932537252	NA	1.82905052272881
Q92887	ABCC2	-1.29962718567562	NA	1.80627122253081
O15438	ABCC3	-1.72593209861573	NA	1.91564037078228
O15439	ABCC4	1.01133515888793	NA	0.311856043790012
O15440	ABCC5	0.0519037796830242	NA	0.958605362585914
P33897	ABCD1	0.618674829672132	NA	0.536130594819838
P28288	ABCD3	0.687015390362137	NA	0.492073030030771
P61221	ABCE1	-0.133001245035163	NA	1.10580760414706
Q8NE71	ABCF1	-0.243187256732279	NA	1.19213966175307
Q9UG63	ABCF2	-0.105875299407438	NA	1.08431870788674
Q9NUQ8	ABCF3	0.51164299769917	NA	0.608900886928921
P45844	ABCG1	1.43918211524874	NA	0.150098931257011
Q9NUJ1	ABHD10	-0.431176368291862	NA	1.3336598645133
Q8NFV4	ABHD11	0.718487094720918	NA	0.472457002318835
Q8N2K0	ABHD12	0.0978146178901558	NA	0.922079499650303
Q7L211	ABHD13	0.00094625391724622	NA	0.999244998721501
Q96IU4	ABHD14B	0.563371545175297	NA	0.57318190911099
O95870	ABHD16A	0.879350260652776	NA	0.379211392134748
Q96GS6	ABHD17A	-0.650006348265395	NA	1.48431187900832
Q5VST6	ABHD17B	0.348046209339712	NA	0.727805480341518
Q6PCB6	ABHD17C	0.848369206473307	NA	0.396232386441924
Q8WU67	ABHD3	0.133679661889477	NA	0.893655888257887
Q8TB40	ABHD4	0.654141828348175	NA	0.513020435195905
Q8WTS1	ABHD5	-0.583418109644365	NA	1.44038813039487
Q9BV23	ABHD6	-0.42858293162978	NA	1.3317732309548
Q8IZP0	ABI1	1.87389817411993	NA	0.0609444611828591
Q9NYB9	ABI2	-0.997456768101656	NA	1.68145715173511
Q9P2A4	ABI3	0.317625898222315	NA	0.750768726759493
Q7Z7G0	ABI3BP	2.07513484052096	+	0.0379740395160742
P00519	ABL1	0.283700942966969	NA	0.776639572028372
O14639	ABLIM1	0.628557926141148	NA	0.529638512450866
Q6H8Q1	ABLIM2	0.141202112317964	NA	0.887710277407709
O94929	ABLIM3	-0.141587623173138	NA	1.11259425628742
Q12979	ABR	-0.0423010547450441	NA	1.03374129552454
Q9P1F3	ABRACL	-0.787528584238513	NA	1.56902749775279
Q9ULW3	ABT1	-0.327929551987885	NA	1.25703507111062
Q969K4	ABTB1	2.23606809933558	+	0.025347310697913
Q8N961	ABTB2	0.209963230304523	NA	0.833696371295909
P09110	ACAA1	0.806663941231714	NA	0.419860124122709
P42765	ACAA2	-0.599399286913412	NA	1.45109334760811
Q13085	ACACA	0.864841033921667	NA	0.387126045607675
O00763	ACACB	1.28925343902729	NA	0.197309992257811
Q6JQN1	ACAD10	0.801266789259273	NA	0.422977212849445
Q709F0	ACAD11	-0.376924477036412	NA	1.29377026931212
Q9UKU7	ACAD8	0.607600154196213	NA	0.54345269853359
Q9H845	ACAD9	-0.113445330745408	NA	1.09032249708654
P28330	ACADL	1.07084401635031	NA	0.284239571722185
P11310	ACADM	-0.537156807023439	NA	1.40884069599551
P16219	ACADS	1.01091460159138	NA	0.312057304798243
P45954	ACADSB	-0.783042639741938	NA	1.5663979269417
P49748	ACADVL	-0.544796931244167	NA	1.41410681048882
P16112	ACAN	-0.332555682249978	NA	1.26053029866429
Q15027	ACAP1	2.24546054562528	+	0.0247385823460853
Q15057	ACAP2	0.657506286720606	NA	0.510855429976359
Q96P50	ACAP3	0.336270605036204	NA	0.736666814342656
P24752	ACAT1	-0.337041626746552	NA	1.26391447956091
Q9BWD1	ACAT2	-0.0741232235176207	NA	1.05908766360588
Q9H3P7	ACBD3	0.921405990308164	NA	0.356838502443333
Q5T8D3	ACBD5	-0.0623476192141122	NA	1.04971399243834
Q9BR61	ACBD6	0.470288196871372	NA	0.638149129070125
Q8N6N7	ACBD7	-2.31057683370838	+	1.97914375992916
Q96QU6	ACCS	0.0755951740555593	NA	0.93974117602529
Q96AP0	ACD	-0.50063841510601	NA	1.38337437842464
P12821	ACE	0.528605475326843	NA	0.597079161252952
Q9BYF1	ACE2	-2.90152992824933	+	1.99628654694122
Q9UKV3	ACIN1	0.371352092857073	NA	0.710375302818883
P53396	ACLY	0.257346019049593	NA	0.796911670301233
P21399	ACO1	0.396830855739962	NA	0.691492195381149
Q99798	ACO2	-0.647272725837795	NA	1.48254454982912
Q86TX2	ACOT1	0.618184179492819	NA	0.536453937446026
Q8WXI4	ACOT11	-0.568698604264979	NA	1.43043930482569
Q9NPJ3	ACOT13	-0.696197558003563	NA	1.51369488322155
P49753	ACOT2	0.524890552540617	NA	0.599659277333579
Q8N9L9	ACOT4	0.656945543658534	NA	0.511215932331198
O00154	ACOT7	-1.12460525742644	NA	1.73924365511852
O14734	ACOT8	0.65862777284475	NA	0.510134824000555
Q9Y305	ACOT9	-0.597857243492715	NA	1.45006480884614
Q15067	ACOX1	-0.345698097767286	NA	1.27043038601079
O15254	ACOX3	2.3845248250191	+	0.0171011941499462
P24666	ACP1	0.309530170263653	NA	0.756918265658748
P11117	ACP2	0.75686294803146	NA	0.449131975445522
P13686	ACP5	-0.770075456431527	NA	1.55874486597802
Q9NPH0	ACP6	-0.0825343694486982	NA	1.06577821131301
Q96CM8	ACSF2	0.78570616928678	NA	0.432039648107181
