UNIPROT	gene_name	difference	significant	logpval
P04217	A1BG	-0.367513027342626	NA	1.28676362372074
P01023	A2M	-0.796547924172969	NA	1.57428636809317
A8K2U0	A2ML1	-2.88723978000003	+	1.99611362068799
Q9NRG9	AAAS	-0.048770690171822	NA	1.03889795977725
Q86V21	AACS	0.11739500572785	NA	0.906547041559875
Q8N5Z0	AADAT	-1.06782337750176	NA	1.71439980923806
Q6PD74	AAGAB	1.27385515706916	NA	0.20271475322761
Q2M2I8	AAK1	0.590483721516759	NA	0.55486639611745
Q9H7C9	AAMDC	-1.24081520316833	NA	1.78532597638605
Q13685	AAMP	0.643070202683943	NA	0.520178548175504
Q9Y312	AAR2	0.444670005107272	NA	0.656558248740234
Q5JTZ9	AARS2	-0.443864552883442	NA	1.34285948618062
Q9BTE6	AARSD1	0.185213869060047	NA	0.853061291353838
Q9NRN7	AASDHPPT	0.473491441900824	NA	0.635862605249757
Q9UDR5	AASS	-0.596441194154574	NA	1.44911947218824
Q9NY61	AATF	-0.121645945923941	NA	1.09682057591701
P80404	ABAT	3.88004622010722	+	0.000104436617082731
O95477	ABCA1	-1.93259289111884	NA	1.94671363114276
Q86UK0	ABCA12	-0.886425299437075	NA	1.6246116087906
Q86UQ4	ABCA13	0.229330892923863	NA	0.818611744138232
Q9BZC7	ABCA2	0.120412677171997	NA	0.904156249539015
Q99758	ABCA3	0.741417035251417	NA	0.458440618649319
Q8N139	ABCA6	-0.258870557022688	NA	1.20426488391231
O94911	ABCA8	0.328522906173623	NA	0.742516327865696
P08183	ABCB1	-2.18863596228262	+	1.97137669019173
Q9NRK6	ABCB10	1.94698739797121	NA	0.0515362455232947
Q2M3G0	ABCB5	-0.950831097885825	NA	1.65830987655735
Q9NP58	ABCB6	-1.24587159558825	NA	1.78718846040917
O75027	ABCB7	0.186920401501771	NA	0.851723043026157
Q9NUT2	ABCB8	0.349736237423245	NA	0.726536655505365
P33527	ABCC1	0.858409314867352	NA	0.390666485859467
Q5T3U5	ABCC10	-3.61131517453279	+	1.99969535184075
Q96J66	ABCC11	-0.905070746485535	NA	1.63457209129163
Q92887	ABCC2	-0.703257484025417	NA	1.51810469875104
O15438	ABCC3	0.337853715236429	NA	0.735473428517701
O15439	ABCC4	0.458259059735811	NA	0.646766333484261
O15440	ABCC5	-0.894648818877747	NA	1.62902515374288
P33897	ABCD1	-0.606617183899666	NA	1.45589500637321
P28288	ABCD3	0.639657137800496	NA	0.522395526964841
P61221	ABCE1	0.441256940223825	NA	0.659026995454123
Q8NE71	ABCF1	-0.45233401018681	NA	1.34897162160913
Q9UG63	ABCF2	0.319208268187968	NA	0.749568587576828
Q9NUQ8	ABCF3	0.449726397527193	NA	0.652907734855561
P45844	ABCG1	-1.70707778919034	NA	1.91219240520456
Q9NUJ1	ABHD10	1.35185001014645	NA	0.176423302069576
Q8NFV4	ABHD11	2.17250249989971	+	0.0298177812837737
Q8N2K0	ABHD12	-1.41203729148792	NA	1.84206101881736
Q7L211	ABHD13	-0.618499706086482	NA	1.46375400851322
Q96IU4	ABHD14B	0.553192827419838	NA	0.580131377890978
O95870	ABHD16A	-1.03729540826648	NA	1.70040179491926
Q96GS6	ABHD17A	0.0563390672572971	NA	0.955071697071586
Q5VST6	ABHD17B	0.841470400260615	NA	0.400084460528013
Q6PCB6	ABHD17C	-0.187821481719664	NA	1.14898340452765
Q8WU67	ABHD3	-0.691374961838601	NA	1.51067006540418
Q8TB40	ABHD4	0.0902801013760204	NA	0.928064632373014
Q8WTS1	ABHD5	0.670185107035772	NA	0.502739796534545
Q9BV23	ABHD6	-0.64055821801839	NA	1.47819024700223
Q8IZP0	ABI1	2.87295301052557	+	0.00406654595921472
Q9NYB9	ABI2	0.500606346252654	NA	0.61664819520787
Q9P2A4	ABI3	0.102162623562836	NA	0.91862759455801
Q7Z7G0	ABI3BP	1.18397778180505	NA	0.236421858011447
P00519	ABL1	-0.247170887748494	NA	1.19522402537955
O14639	ABLIM1	0.387027131520166	NA	0.698736122113363
Q6H8Q1	ABLIM2	0.827881345632076	NA	0.407737700386461
O94929	ABLIM3	0.82279335075953	NA	0.410625518539301
Q12979	ABR	-0.272579259658599	NA	1.21482334319659
Q9P1F3	ABRACL	-0.959300555189194	NA	1.66259264422568
Q9ULW3	ABT1	-0.618499706086482	NA	1.46375400851322
Q969K4	ABTB1	-1.03593475690792	NA	1.69976741878985
Q8N961	ABTB2	-2.84489249348319	+	1.99555735854038
P09110	ACAA1	0.465021984597456	NA	0.641915713006919
P42765	ACAA2	1.48236813948567	NA	0.138242366647316
Q13085	ACACA	1.45354670269212	NA	0.146072022571092
O00763	ACACB	-1.18652218955942	NA	1.76458385615821
Q6JQN1	ACAD10	1.62653852835868	NA	0.103835144122785
Q709F0	ACAD11	-0.235288365561678	NA	1.18601507538263
