UNIPROT	gene_name	difference	significant	logpval
P04217	A1BG	-0.300170330243255	NA	1.23595276481661
P01023	A2M	-2.27528993047446	+	1.97711145690186
A8K2U0	A2ML1	-3.03817643105362	+	1.99761985441409
Q9NRG9	AAAS	0.518070886442499	NA	0.604408812138962
Q86V21	AACS	0.457731900347499	NA	0.647145066554114
Q8N5Z0	AADAT	-0.224702618771665	NA	1.17778937277949
Q6PD74	AAGAB	-0.662321523754163	NA	1.49223481445878
Q2M2I8	AAK1	0.18776038238697	NA	0.851064493622026
Q9H7C9	AAMDC	0.348722983777424	NA	0.727297287616663
Q13685	AAMP	-0.950705521436586	NA	1.65824611546361
Q9Y312	AAR2	-0.0972812224796951	NA	1.07749693244426
Q5JTZ9	AARS2	0.331952381228182	NA	0.739925216287958
Q9BTE6	AARSD1	-0.759544107763406	NA	1.55247286070085
Q9NRN7	AASDHPPT	-0.424249333719466	NA	1.32861601449837
Q9UDR5	AASS	0.710874177288333	NA	0.477162209126187
Q9NY61	AATF	-0.343738713789013	NA	1.2689572061372
P80404	ABAT	-1.14855172074128	NA	1.74925912545833
O95477	ABCA1	-2.08078612398552	+	1.96254651318815
Q86UK0	ABCA12	0.226344495944318	NA	0.820933493472067
Q86UQ4	ABCA13	-0.6975046060253	NA	1.51451294213095
Q9BZC7	ABCA2	0.600132052541313	NA	0.548418232675469
Q99758	ABCA3	0.227986373116971	NA	0.819656834256371
Q8N139	ABCA6	-0.496383202893992	NA	1.380375926287
O94911	ABCA8	-0.110166134339936	NA	1.08772238036208
P08183	ABCB1	0.218088484339818	NA	0.827360169631516
Q9NRK6	ABCB10	2.37415439165636	+	0.0175891940197676
Q2M3G0	ABCB5	-0.176091326767043	NA	1.13977780530585
Q9NP58	ABCB6	-1.70520672074113	NA	1.9118441229808
O75027	ABCB7	0.597701929316174	NA	0.550038837899481
Q9NUT2	ABCB8	-0.513086616454088	NA	1.39210926699688
P33527	ABCC1	0.110650793742727	NA	0.911893267174464
Q5T3U5	ABCC10	-0.325326234067118	NA	1.25506582209507
Q96J66	ABCC11	1.00764347624538	NA	0.31362564934569
Q92887	ABCC2	2.28174190049334	+	0.0225045827368033
O15438	ABCC3	-1.40339451332522	NA	1.83950077178855
O15439	ABCC4	0.110650793742727	NA	0.911893267174464
O15440	ABCC5	1.29268508111204	NA	0.196119999706449
P33897	ABCD1	0.0402259907300005	NA	0.96791295678978
P28288	ABCD3	2.60724231170264	+	0.00912747432471344
P61221	ABCE1	0.414104878331288	NA	0.678797300287598
Q8NE71	ABCF1	0.14413336037076	NA	0.88539516198699
Q9UG63	ABCF2	0.0452688991888636	NA	0.963892976866315
Q9NUQ8	ABCF3	0.554954484356742	NA	0.578925793335901
P45844	ABCG1	-1.12030539930709	NA	1.73741635799721
Q9NUJ1	ABHD10	-0.479545411355604	NA	1.36844932960965
Q8NFV4	ABHD11	-0.332011019698634	NA	1.26011906196692
Q8N2K0	ABHD12	0.298411176129698	NA	0.765389360116206
Q7L211	ABHD13	-0.523528078756037	NA	1.39939318359386
Q96IU4	ABHD14B	-0.283399727694012	NA	1.22312956289657
O95870	ABHD16A	0.507985069524773	NA	0.611463813954919
Q96GS6	ABHD17A	0.469459594437878	NA	0.638741159687846
Q5VST6	ABHD17B	-0.456090023174845	NA	1.35167475582925
Q6PCB6	ABHD17C	0.796369067207197	NA	0.425817551971188
Q8WU67	ABHD3	0.316882294322045	NA	0.751332917308217
Q8TB40	ABHD4	1.64645097334833	NA	0.0996709459207463
Q8WTS1	ABHD5	0.761185984936059	NA	0.446545988093557
Q9BV23	ABHD6	-0.523172433371814	NA	1.39914573693948
Q8IZP0	ABI1	-1.63818294901461	NA	1.89861646455625
Q9NYB9	ABI2	-0.890366535341586	NA	1.62673089473529
Q9P2A4	ABI3	-1.38662391077598	NA	1.83444352668918
Q7Z7G0	ABI3BP	-2.06905842989514	+	1.96145939598757
P00519	ABL1	0.575067479721742	NA	0.565245660674875
O14639	ABLIM1	-0.548328337195678	NA	1.41653352673536
Q6H8Q1	ABLIM2	0.0535955619930328	NA	0.957257392448401
O94929	ABLIM3	0.672319382966211	NA	0.501380392761602
Q12979	ABR	-0.29846981460015	NA	1.23465538875662
Q9P1F3	ABRACL	-0.00170051564310497	NA	1.00135681452311
Q9ULW3	ABT1	-0.751217444959237	NA	1.54747819691159
Q969K4	ABTB1	0.464416685979015	NA	0.642349237599781
Q8N961	ABTB2	-0.461132931633709	NA	1.35529676379166
P09110	ACAA1	0.722601871378712	NA	0.469924518191231
P42765	ACAA2	-0.24651612977977	NA	1.19471728012256
Q13085	ACACA	-0.536542004634847	NA	1.40841598628957
O00763	ACACB	-0.224702618771665	NA	1.17778937277949
Q6JQN1	ACAD10	1.21721736964045	NA	0.223521523170275
Q709F0	ACAD11	0.231328765932729	NA	0.817059400686056
Q9UKU7	ACAD8	-0.947363128620828	NA	1.65654622725634
Q9H845	ACAD9	0.303454084588561	NA	0.761543833901413
P28330	ACADL	-0.653936222479542	NA	1.48684710407728
P11310	ACADM	0.0603389860950008	NA	0.951885652082336
P16219	ACADS	0.110650793742727	NA	0.911893267174464
P45954	ACADSB	-0.912121407879239	NA	1.63829518996179
P49748	ACADVL	-0.337053928157497	NA	1.26392375270056
P16112	ACAN	-0.551670730011436	NA	1.41882603273356
Q15027	ACAP1	-2.65256984936196	+	1.99201184018777
Q15057	ACAP2	-0.199546714947801	NA	1.15816489520466
Q96P50	ACAP3	1.22226027809932	NA	0.221609215426029
P24752	ACAT1	-0.744474020857269	NA	1.54341024761112
Q9BWD1	ACAT2	-0.92050670915386	NA	1.64269197137132
Q9H3P7	ACBD3	0.14413336037076	NA	0.88539516198699
Q5T8D3	ACBD5	1.79234348783265	NA	0.0730779612041593
Q9BR61	ACBD6	0.839996089223407	NA	0.400910579248528
Q8N6N7	ACBD7	-1.0546715295478	NA	1.70842442289322
Q96QU6	ACCS	-0.385665220162119	NA	1.30025537592731
Q96AP0	ACD	0.169289264194623	NA	0.865569120037897
P12821	ACE	-0.851782421784238	NA	1.60566513555215
Q9BYF1	ACE2	-3.74242446118089	+	1.99981774667216
Q9UKV3	ACIN1	-0.0234847074159842	NA	1.018736363164
P53396	ACLY	0.113172247972159	NA	0.909893997198782
P21399	ACO1	1.01268638470424	NA	0.31120998324676
Q99798	ACO2	-1.37659673232871	NA	1.83136303825928
Q86TX2	ACOT1	-0.155978331402043	NA	1.12394989880838
Q8WXI4	ACOT11	-0.308555631517876	NA	1.24234042416283
Q9NPJ3	ACOT13	-0.355466407879392	NA	1.27775979355347
P49753	ACOT2	0.0150700869061372	NA	0.98797626544278
Q8N9L9	ACOT4	0.0217548725376533	NA	0.982643492156138
O00154	ACOT7	-0.103966008111211	NA	1.08280367605552
O14734	ACOT8	1.33291107184204	NA	0.182560988724079
Q9Y305	ACOT9	-1.03620041135545	NA	1.69989134508847
