UNIPROT	gene_name	difference	significant	logpval
P00740	F9	-0.362288489588046	NA	1.28286354122518
O00519	FAAH	-1.4396081694152	NA	1.85002171297183
Q6GMR7	FAAH2	-0.977042527715081	NA	1.67145190139678
Q0VG06	FAAP100	-0.232323863182507	NA	1.18371352071197
P05413	FABP3	0.0844931318070751	NA	0.93266436333985
P15090	FABP4	0.498831970531236	NA	0.617897762824926
Q01469	FABP5	0.55571971270974	NA	0.578402478494623
P51161	FABP6	-2.37225754798796	+	1.9823202378298
O15540	FABP7	3.86304533579164	+	0.000111982215414416
Q13158	FADD	-0.62066977662556	NA	1.46518308092987
O60427	FADS1	-1.54104302773654	NA	1.87669368575202
O95864	FADS2	-1.3696917153092	NA	1.82921684407115
Q9UNN5	FAF1	0.34938877480834	NA	0.726797459395553
Q96CS3	FAF2	-0.52804982450727	NA	1.40253524526474
P16930	FAH	-1.74178398812982	NA	1.91845375048243
Q6P587	FAHD1	-0.196591653242721	NA	1.15585289710431
Q96GK7	FAHD2A	0.973283480128827	NA	0.330412430581149
Q6P2I3	FAHD2B	0.227486470140117	NA	0.820045488739956
Q9NVQ4	FAIM	0.10887359274072	NA	0.913302752053607
Q9H098	FAM107B	-0.00651435596375159	NA	1.00519766728494
Q9BQ89	FAM110A	0.232388361756406	NA	0.816236387500195
Q8TC76	FAM110B	-0.464712224938913	NA	1.35786244738527
Q96PZ2	FAM111A	1.72720731042875	NA	0.0841304384093454
Q6SJ93	FAM111B	0.859572494345717	NA	0.390024742540078
Q8IWE2	FAM114A1	-0.513408648232304	NA	1.39233450267423
Q9NRY5	FAM114A2	-0.224197042871292	NA	1.17739601564032
Q9C073	FAM117A	0.89369223993804	NA	0.371486578480551
Q6P1L5	FAM117B	1.52410130122228	NA	0.127483407711835
Q9NWS6	FAM118A	0.604480634577029	NA	0.545524140429269
Q9BPY3	FAM118B	0.253479395421225	NA	0.799897781439853
Q9NZB2	FAM120A	-0.763663114958602	NA	1.5549319731267
Q96EK7	FAM120B	0.151120158644257	NA	0.879880930821416
Q9NX05	FAM120C	0.495607041836309	NA	0.620171683570718
Q8N9E0	FAM133A	0.173888155230439	NA	0.861953361570892
Q5BKY9	FAM133B	0.186852368584043	NA	0.851776385722041
Q96C01	FAM136A	-0.0243804609336446	NA	1.01945086639034
O94988	FAM13A	-1.20805051242306	NA	1.77297216662683
Q6UXP7	FAM151B	0.0357967085136845	NA	0.971444457612232
Q96A26	FAM162A	-0.843254355149389	NA	1.6009137951635
Q92567	FAM168A	0.19665615181662	NA	0.844096625719312
A1KXE4	FAM168B	0.18523990423658	NA	0.853040871600877
Q9Y6X4	FAM169A	-1.11621231988797	NA	1.73566873778338
Q8TBP5	FAM174A	-0.59957874296074	NA	1.451212982606
Q3ZCQ3	FAM174B	-0.523149667986533	NA	1.3991298959461
Q8N128	FAM177A1	-0.80590968086214	NA	1.57970507113833
Q8NB25	FAM184A	0.739347152598856	NA	0.459696223815237
Q8N0U4	FAM185A	-1.42496699314024	NA	1.84583325754499
P78312	FAM193A	-0.209555866596326	NA	1.16598567190393
Q96PV7	FAM193B	-0.477676438292518	NA	1.36711948321561
Q9H8W3	FAM204A	-0.256704324116152	NA	1.20259296677606
