UNIPROT,gene_name,mf,final_score,method
P78536,ADAM17,other,-2.5989047633301956,PhosphoScore
Q9UBM7,DHCR7,other,-2.1135134446414945,PhosphoScore
O43768,ENSA,other,3.883595483722912,PhosphoScore
Q05469,LIPE,other,-2.3494675578929467,PhosphoScore
P27816,MAP4,other,2.366902590891822,PhosphoScore
Q13522,PPP1R1A,other,-4.495138952287922,PhosphoScore
Q9Y365,STARD10,other,2.3870497401349677,PhosphoScore
Q16623,STX1A,other,-2.5737039139255047,PhosphoScore
P55327,TPD52,other,-3.813855351727408,PhosphoScore
Q9ULW0,TPX2,other,-2.521183260672985,PhosphoScore
