UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,5.048644984432336,VIPER
P15336,ATF2,tf,2.022229734430378,VIPER
P18850,ATF6,tf,4.822068385657577,VIPER
Q99626,CDX2,tf,-2.642105553514939,VIPER
Q16254,E2F4,tf,6.322003423471822,VIPER
Q92731,ESR2,tf,3.8202874413150303,VIPER
O43524,FOXO3,tf,3.4363707285732223,VIPER
P15976,GATA1,tf,-2.745684866734469,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.2677819119994966,VIPER
Q16665,HIF1A,tf,3.323049010374746,VIPER
P20823,HNF1A,tf,-5.185109965618025,VIPER
P01106,MYC,tf,10.470255775252646,VIPER
P04198,MYCN,tf,1.9683495679643028,VIPER
SIGNOR-C93,MYOD1_SWI_SNF_COMPLEX,tf,-2.1333053563316278,VIPER
Q13469,NFATC2,tf,-2.6186291920461677,VIPER
Q16236,NFE2L2,tf,3.800155212685631,VIPER
Q13285,NR5A1,tf,-2.4733953352024076,VIPER
P06401,PGR,tf,2.406477771029721,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,6.443370027347978,VIPER
P48382,RFX5,tf,5.852337476627532,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-3.4602890841633744,VIPER
Q12772,SREBF2,tf,2.3241609635250207,VIPER
P42224,STAT1,tf,3.144318837064371,VIPER
P19532,TFE3,tf,4.4843762090102235,VIPER
P19484,TFEB,tf,4.995042740173629,VIPER
P22415,USF1,tf,2.1570150082067507,VIPER
P11473,VDR,tf,2.300245757308157,VIPER
Q09472,EP300,tf,2.588023268751625,PhosphoScore
P04637,TP53,tf,-3.8808107686183697,PhosphoScore
O14965,AURKA,kin,-1.9690139190083795,VIPER
Q96GD4,AURKB,kin,-2.4161905396501404,VIPER
Q13873,BMPR2,kin,-2.0948180014858546,VIPER
Q16566,CAMK4,kin,-2.531477773517107,VIPER
Q8N5S9,CAMKK1,kin,-2.287579311655283,VIPER
Q96RR4,CAMKK2,kin,-3.611311547757736,VIPER
P06493,CDK1,kin,-3.1436734533216373,VIPER
Q9NYV4,CDK12,kin,-0.5099289698077729,VIPER+PhosphoScore
Q14004,CDK13,kin,2.523416804833025,VIPER
Q00537,CDK17,kin,3.027839778453728,VIPER
Q07002,CDK18,kin,3.778336517139282,VIPER
Q9BWU1,CDK19,kin,3.6790395670323846,VIPER
P24941,CDK2,kin,-3.927687768470629,VIPER
Q00534,CDK6,kin,-2.5049059372570834,VIPER
P50613,CDK7,kin,3.4442072186274135,VIPER
P49336,CDK8,kin,3.9872143655245473,VIPER
P50750,CDK9,kin,2.704804005506533,VIPER
O14757,CHEK1,kin,-3.5983006124734827,VIPER
O96017,CHEK2,kin,-2.1764325028568257,VIPER+PhosphoScore
O15111,CHUK,kin,2.2901209023657385,VIPER
Q6XUX3,DSTYK,kin,-3.3564380068817683,VIPER
Q13627,DYRK1A,kin,7.434060425390459,VIPER
Q9Y463,DYRK1B,kin,8.79322885249784,VIPER
Q92630,DYRK2,kin,8.773117756288013,VIPER
O43781,DYRK3,kin,4.872182416075633,VIPER
Q9NR20,DYRK4,kin,8.7054443290523,VIPER
O00418,EEF2K,kin,-4.312175042931729,VIPER+PhosphoScore
P49840,GSK3A,kin,3.7259282480138673,VIPER
Q86Z02,HIPK1,kin,6.3938894286173085,VIPER
Q9H2X6,HIPK2,kin,7.484554488682863,VIPER
Q9H422,HIPK3,kin,6.345306247127385,VIPER
Q8NE63,HIPK4,kin,6.839100127002945,VIPER
Q5S007,LRRK2,kin,-4.213388036090515,VIPER
O43283,MAP3K13,kin,-3.435132213738115,VIPER
Q6ZN16,MAP3K15,kin,-2.082847043827582,VIPER
Q99759,MAP3K3,kin,-0.3856197697841701,VIPER
P49137,MAPKAPK2,kin,-2.624074286438028,VIPER
Q8IW41,MAPKAPK5,kin,-2.0030024351714335,VIPER
Q9P0L2,MARK1,kin,3.482376686224008,VIPER
Q7KZI7,MARK2,kin,4.42644747713117,VIPER
P27448,MARK3,kin,4.080914459603457,VIPER
Q96L34,MARK4,kin,4.561843399143774,VIPER
Q6P0Q8,MAST2,kin,-8.195660681832976,VIPER
P08581,MET,kin,-0.09825631306415165,VIPER
P00540,MOS,kin,2.8238304192881034,VIPER
Q8NEV4,MYO3A,kin,-5.186102037989639,VIPER
Q8WXR4,MYO3B,kin,-4.920648079357156,VIPER
Q96PY6,NEK1,kin,-3.202965063311643,VIPER
P51955,NEK2,kin,-2.215431648597383,VIPER
P51956,NEK3,kin,-2.623212859038709,VIPER
Q6P3R8,NEK5,kin,-2.646644709767436,VIPER
Q9HC98,NEK6,kin,-3.91915033711867,VIPER
Q8TDX7,NEK7,kin,-4.97858383650184,VIPER
Q86SG6,NEK8,kin,-5.803589872190794,VIPER
Q8TD19,NEK9,kin,-4.3114579628328364,VIPER
Q16513,PKN2,kin,-2.0658138423326906,VIPER
Q6P5Z2,PKN3,kin,-2.8144797818970893,VIPER
P53350,PLK1,kin,-3.50333309213989,VIPER
P22694,PRKACB,kin,-1.983822948716514,VIPER
P78527,PRKDC,kin,-2.3128584917934885,VIPER
P60484,PTEN,phos,-2.2738297039646977,VIPER
O43353,RIPK2,kin,-2.0861592279464984,VIPER
P08922,ROS1,kin,-2.3276483660948037,VIPER
O75676,RPS6KA4,kin,-2.1358424276124204,VIPER
P23443,RPS6KB1,kin,-0.014097404128353253,VIPER+PhosphoScore
Q9BYT3,STK33,kin,-2.5907168641516893,VIPER
Q15208,STK38,kin,-2.422813627480344,VIPER
P37173,TGFBR2,kin,-4.118194889656565,VIPER
Q9UKI8,TLK1,kin,-3.110759307914965,VIPER
Q86UE8,TLK2,kin,-2.0837658539391173,VIPER
Q9UKE5,TNIK,kin,-5.032808963887296,VIPER
Q5TCY1,TTBK1,kin,-2.8913416374961143,VIPER
Q6IQ55,TTBK2,kin,-3.0258051717567827,VIPER
P33981,TTK,kin,-4.714184745780077,VIPER
Q8TAS1,UHMK1,kin,-2.894517066232738,VIPER
O75385,ULK1,kin,-4.802268835206776,VIPER
Q8IYT8,ULK2,kin,-3.6612923900250025,VIPER
Q99986,VRK1,kin,-4.174583779495008,VIPER
P49674,CSNK1E,kin,-2.8464814371489053,PhosphoScore
Q15303,ERBB4,kin,-2.2611620571037205,PhosphoScore
O95747,OXSR1,kin,-2.0456343554205807,PhosphoScore
Q9BZL6,PRKD2,kin,3.785844034557849,PhosphoScore
P18433,PTPRA,phos,2.9258798541503244,PhosphoScore
P04049,RAF1,kin,-2.8452211448155493,PhosphoScore
Q96J92,WNK4,kin,3.5776733950247173,PhosphoScore
Q9NRY4,ARHGAP35,other,-2.713780067930848,PhosphoScore
Q9Y4P1,ATG4B,other,-2.2038064819805583,PhosphoScore
Q96FF9,CDCA5,other,2.959685342621517,PhosphoScore
Q9HA82,CERS4,other,2.8764319137768917,PhosphoScore
Q96QB1,DLC1,other,2.256486044801631,PhosphoScore
P26358,DNMT1,other,2.0672501009192943,PhosphoScore
Q9GZT9,EGLN1,other,-2.149169102587425,PhosphoScore
Q13541,EIF4EBP1,other,2.163477127313171,PhosphoScore
P11413,G6PD,other,2.2740863132759315,PhosphoScore
P09651,HNRNPA1,other,2.0152074410360115,PhosphoScore
P61978,HNRNPK,other,-2.4822569528090637,PhosphoScore
O75581,LRP6,other,-2.006813399727306,PhosphoScore
P33991,MCM4,other,2.6526929571846583,PhosphoScore
Q96PU5,NEDD4L,other,1.9865913915845197,PhosphoScore
Q13835,PKP1,other,-2.290989057511528,PhosphoScore
P62753,RPS6,other,-2.708590628911147,PhosphoScore
Q16623,STX1A,other,-4.1110735914067975,PhosphoScore
P11388,TOP2A,other,-2.1674062739995157,PhosphoScore
Q12933,TRAF2,other,-2.2051409091570524,PhosphoScore
