UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,1.3054123297993494,VIPER+PhosphoScore
P18850,ATF6,tf,3.287554725572238,VIPER
Q99626,CDX2,tf,-3.847375179916973,VIPER
Q16254,E2F4,tf,9.72426479373394,VIPER
P19419,ELK1,tf,2.197292590781775,VIPER
Q92731,ESR2,tf,2.322506231240133,VIPER
P15976,GATA1,tf,-2.4305597886015344,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.8181843870275722,VIPER
Q16665,HIF1A,tf,3.68329934550635,VIPER
P20823,HNF1A,tf,-5.04620805663965,VIPER
P01106,MYC,tf,11.683753470634137,VIPER
P04198,MYCN,tf,3.6942533091502487,VIPER
Q9H9S0,NANOG,tf,2.148858494815735,VIPER
Q13469,NFATC2,tf,-2.488470980338285,VIPER
Q16236,NFE2L2,tf,3.5739979048549073,VIPER
Q13285,NR5A1,tf,-3.2187529253737437,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,7.428905905731712,VIPER
P48382,RFX5,tf,6.982633137474047,VIPER
P84022,SMAD3,tf,3.024715320721469,VIPER
Q12772,SREBF2,tf,2.573820464589184,VIPER
P05549,TFAP2A,tf,2.640128473977394,VIPER
P19532,TFE3,tf,3.559960750398004,VIPER
P19484,TFEB,tf,3.580606985273343,VIPER
P11473,VDR,tf,2.899852611638632,VIPER
P03372,ESR1,tf,-2.846199867255219,PhosphoScore
P14921,ETS1,tf,-2.0590657601131372,PhosphoScore
P41212,ETV6,tf,-2.5573344646706015,PhosphoScore
Q00613,HSF1,tf,-2.030224562807164,PhosphoScore
Q15796,SMAD2,tf,2.1713278288444533,PhosphoScore
Q8N5S9,CAMKK1,kin,2.7158935901658428,VIPER
Q96RR4,CAMKK2,kin,2.3746055569943327,VIPER
Q9NYV4,CDK12,kin,2.2851761173619933,VIPER
Q14004,CDK13,kin,2.8671128824527874,VIPER
Q00536,CDK16,kin,2.044303190197439,VIPER
Q00537,CDK17,kin,3.12554895920083,VIPER
Q07002,CDK18,kin,3.1976826580029662,VIPER
Q9BWU1,CDK19,kin,5.725470332559167,VIPER
P24941,CDK2,kin,3.019530041108321,VIPER
P50613,CDK7,kin,4.458608484568783,VIPER
P49336,CDK8,kin,5.221834146893835,VIPER
P50750,CDK9,kin,0.04011516924091407,VIPER+PhosphoScore
P04626,ERBB2,kin,-0.0081548898183894,VIPER
O95835,LATS1,kin,-3.6738273883064863,VIPER
Q9NRM7,LATS2,kin,-2.898742986788681,VIPER
Q9P0L2,MARK1,kin,-1.5378846270613025,VIPER
Q6P0Q8,MAST2,kin,-7.7477393040102625,VIPER
Q9UBE8,NLK,kin,2.826821760713663,VIPER
Q13153,PAK1,kin,-2.479433218024922,VIPER
Q13177,PAK2,kin,-3.803312021061418,VIPER
O75914,PAK3,kin,-3.235791921776614,VIPER
Q96RG2,PASK,kin,-1.5732845571775778,VIPER
Q86V86,PIM3,kin,-2.118587440766551,VIPER
Q9BXM7,PINK1,kin,3.926106891376312,VIPER
P51817,PRKX,kin,-5.6975066393932146,VIPER
P60484,PTEN,phos,-3.0877611721041243,VIPER
Q13464,ROCK1,kin,-3.8764635107644714,VIPER
O75116,ROCK2,kin,-5.187639410399927,VIPER
Q96Q15,SMG1,kin,4.819205891028189,VIPER
Q15831,STK11,kin,-2.377661117586835,VIPER
Q9Y2H1,STK38L,kin,-2.01835528995021,VIPER
Q13043,STK4,kin,2.132243511025692,VIPER
Q9UHD2,TBK1,kin,2.124649777298969,VIPER
Q5TCY1,TTBK1,kin,2.6314523937435648,VIPER
Q8TAS1,UHMK1,kin,-2.383874949850303,VIPER
O75385,ULK1,kin,3.0409393772548063,VIPER
Q8IYT8,ULK2,kin,2.1092487615129305,VIPER
P06493,CDK1,kin,1.9973887020533143,PhosphoScore
P17252,PRKCA,kin,2.6471018098307564,PhosphoScore
P29350,PTPN6,phos,1.965853888183072,PhosphoScore
Q9H2G2,SLK,kin,-2.0915280624530053,PhosphoScore
Q8WYL5,SSH1,phos,3.151036594292222,PhosphoScore
Q02952,AKAP12,other,-3.326410818497489,PhosphoScore
Q9NRY4,ARHGAP35,other,2.5159661225621734,PhosphoScore
Q8N2F6,ARMC10,other,2.5733416817572903,PhosphoScore
Q9Y4P1,ATG4B,other,-4.363969772307152,PhosphoScore
Q3V6T2,CCDC88A,other,2.106100182125567,PhosphoScore
P13498,CYBA,other,-2.0102226822725986,PhosphoScore
P26358,DNMT1,other,2.013089083723176,PhosphoScore
Q9H8V3,ECT2,other,-2.4570689441163913,PhosphoScore
Q04637,EIF4G1,other,2.588255082363361,PhosphoScore
P09211,GSTP1,other,3.23943935841308,PhosphoScore
P08238,HSP90AB1,other,-2.2978589752091816,PhosphoScore
Q9Y4H2,IRS2,other,-2.0333977996745696,PhosphoScore
P56181,NDUFV3,other,-2.4710471917946797,PhosphoScore
Q9NVE7,PANK4,other,2.1258148066332483,PhosphoScore
P09874,PARP1,other,-2.484294544616226,PhosphoScore
P08559,PDHA1,other,-2.5188325240127507,PhosphoScore
Q13835,PKP1,other,2.626837649894133,PhosphoScore
Q14738,PPP2R5D,other,2.2037901311843218,PhosphoScore
O43148,RNMT,other,-2.40906329831803,PhosphoScore
P06702,S100A9,other,-3.384163729484265,PhosphoScore
Q92504,SLC39A7,other,-2.430429759891892,PhosphoScore
Q16623,STX1A,other,-2.2957434839642445,PhosphoScore
P55327,TPD52,other,3.068366633072518,PhosphoScore
O94874,UFL1,other,-2.472104937417148,PhosphoScore
