UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,5.876566765775774,VIPER
P18850,ATF6,tf,4.376218519711684,VIPER
Q99626,CDX2,tf,-2.6817714357640567,VIPER
P49715,CEBPA,tf,2.0557988475190228,VIPER
Q01094,E2F1,tf,2.2555325773739776,VIPER
O00716,E2F3,tf,2.0426339645268397,VIPER
Q16254,E2F4,tf,7.600413651875318,VIPER
P18146,EGR1,tf,2.038831294061101,VIPER
P19419,ELK1,tf,3.2392841184941514,VIPER
P11308,ERG,tf,2.0023095122207706,VIPER
P03372,ESR1,tf,-1.208532605665761,VIPER+PhosphoScore
Q92731,ESR2,tf,3.426786187784956,VIPER
P14921,ETS1,tf,2.077015558225961,VIPER
P15036,ETS2,tf,2.2634405015603445,VIPER
P15407,FOSL1,tf,2.386052450418805,VIPER
Q08050,FOXM1,tf,2.174749564265114,VIPER
O43524,FOXO3,tf,2.7268647751773427,VIPER
P98177,FOXO4,tf,2.1433476291986846,VIPER
P15976,GATA1,tf,-2.013770161163701,VIPER
P10070,GLI2,tf,-2.21955226828054,VIPER
Q14526,HIC1,tf,-2.1639940404097286,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.872812473605604,VIPER
Q16665,HIF1A,tf,5.983016658522012,VIPER
P20823,HNF1A,tf,-3.940963774610257,VIPER
P10914,IRF1,tf,2.8292890484471838,VIPER
P01106,MYC,tf,11.002530113605507,VIPER
P04198,MYCN,tf,2.6469791224186503,VIPER
Q16236,NFE2L2,tf,4.0786555314193755,VIPER
O00712,NFIB,tf,-1.981759128117515,VIPER
SIGNOR-C13,NFKB_P65_P50,tf,2.9425525372977055,VIPER
P19838,NFKB1,tf,2.3473387615226056,VIPER
Q13285,NR5A1,tf,-2.785248866551865,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,5.258007815607528,VIPER
P48382,RFX5,tf,4.4978480924756274,VIPER
SIGNOR-C451,SOX17_POU5F1,tf,-2.2957101616573903,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-3.7309532471745235,VIPER
P08047,SP1,tf,2.467527532809973,VIPER
P36956,SREBF1,tf,2.0813109097888667,VIPER
Q12772,SREBF2,tf,2.2448601735863094,VIPER
P11831,SRF,tf,2.1052041901393754,VIPER
P42224,STAT1,tf,4.418207860123082,VIPER
P40763,STAT3,tf,3.682783933907648,VIPER
P19532,TFE3,tf,3.6939162046713516,VIPER
P19484,TFEB,tf,4.529424260413332,VIPER
P04637,TP53,tf,-0.23015453687687382,VIPER+PhosphoScore
P22415,USF1,tf,2.2084381547615415,VIPER
Q15853,USF2,tf,3.0897042847378895,VIPER
P46937,YAP1,tf,3.2555289829509304,VIPER
P06400,RB1,tf,-0.7378921906056355,PhosphoScore
P31751,AKT2,kin,-2.201117755387869,VIPER
Q13873,BMPR2,kin,2.1293728996429673,VIPER
Q96NX5,CAMK1G,kin,-2.0390995998531123,VIPER
Q9UQM7,CAMK2A,kin,-5.372200839428506,VIPER
Q13554,CAMK2B,kin,-5.0387979294891245,VIPER
Q13557,CAMK2D,kin,-2.8623224435292096,VIPER
Q13555,CAMK2G,kin,-2.3279405671012534,VIPER
Q15131,CDK10,kin,-2.256005794229428,VIPER
P11802,CDK4,kin,-2.9240925324436198,VIPER
SIGNOR-C144,CDK5_CDK5R1,kin,2.807448723832697,VIPER
Q15078,CDK5R1,kin,-5.6015796116587735,VIPER
Q00534,CDK6,kin,-2.411082501623945,VIPER
Q00532,CDKL1,kin,-4.195152053206635,VIPER
P49759,CLK1,kin,-6.288303450959325,VIPER
P49760,CLK2,kin,-7.484959731542786,VIPER
P49761,CLK3,kin,-3.8795454747157714,VIPER
Q9HAZ1,CLK4,kin,-5.697110831666774,VIPER
P68400,CSNK2A1,kin,-3.2366853887431146,VIPER
SIGNOR-C18,CYCLIND_CDK4,kin,-3.7674132067122725,VIPER
SIGNOR-C16,CYCLINE_CDK2,kin,-2.3759890886310626,VIPER
Q6XUX3,DSTYK,kin,2.3845339698540364,VIPER
Q15303,ERBB4,kin,-0.9288970315471224,VIPER
Q8IXL6,FAM20C,kin,-2.3088211699986467,VIPER
P34947,GRK5,kin,-1.5238085170960831,VIPER
P43250,GRK6,kin,-3.1785533013442255,VIPER
Q8NE63,HIPK4,kin,2.1211297893820564,VIPER
Q9NRM7,LATS2,kin,-2.8591838166188843,VIPER
O43283,MAP3K13,kin,4.901702801003201,VIPER
Q6ZN16,MAP3K15,kin,2.008093616950886,VIPER
Q9Y2U5,MAP3K2,kin,2.2079614246890804,VIPER
P49137,MAPKAPK2,kin,-3.210501860086467,VIPER
Q8IW41,MAPKAPK5,kin,-2.2979978392679725,VIPER
Q6P0Q8,MAST2,kin,-7.893086519868771,VIPER
O15146,MUSK,kin,-0.32553477890679244,VIPER
Q8TDX7,NEK7,kin,3.4058055823574707,VIPER
Q8TD19,NEK9,kin,2.3927617042363236,VIPER
Q9H093,NUAK2,kin,-2.4679524182702046,VIPER
Q96RG2,PASK,kin,-4.905560610092095,VIPER
O15530,PDPK1,kin,-2.316228370999929,VIPER
P11309,PIM1,kin,-5.327225382044609,VIPER
Q9P1W9,PIM2,kin,-4.851474668195994,VIPER
Q86V86,PIM3,kin,-3.4804885142286186,VIPER
Q6P5Z2,PKN3,kin,-3.484363236982175,VIPER
P53350,PLK1,kin,2.5319184663506764,VIPER
