UNIPROT,gene_name,mf,final_score,method
Q96RG2,PASK,kin,-2.4583289241017066,VIPER
Q15120,PDK3,kin,2.2240426921631826,VIPER
Q8NEB9,PIK3C3,kin,-3.3912657636158365,VIPER
P11309,PIM1,kin,-9.77311210168893,VIPER
Q9P1W9,PIM2,kin,-6.378039198270101,VIPER
Q86V86,PIM3,kin,-6.363419253043306,VIPER
P53350,PLK1,kin,8.693927368504458,VIPER
Q9NYY3,PLK2,kin,7.138615752813651,VIPER
Q9H4B4,PLK3,kin,7.491951408479577,VIPER
O00444,PLK4,kin,6.92309625308732,VIPER
P22694,PRKACB,kin,-1.2578112327456061,VIPER
Q02156,PRKCE,kin,-0.839094523877049,VIPER
P51817,PRKX,kin,-8.652623620294062,VIPER
Q14289,PTK2B,kin,2.6859640875189315,VIPER
P04049,RAF1,kin,2.544600445079548,VIPER
O43353,RIPK2,kin,6.047118668627189,VIPER
Q9Y572,RIPK3,kin,3.6933054672829777,VIPER
P51812,RPS6KA3,kin,-2.7530205997887864,VIPER
O00141,SGK1,kin,-2.9817284159969715,VIPER
Q96Q15,SMG1,kin,10.804739277691658,VIPER
Q9H3Y6,SRMS,kin,2.505189188397782,VIPER
Q96SB4,SRPK1,kin,-11.618334992297797,VIPER
P78362,SRPK2,kin,-13.201389903181946,VIPER
Q9UPE1,SRPK3,kin,-12.080235748851443,VIPER
Q9UHD2,TBK1,kin,11.175105934395564,VIPER
P36897,TGFBR1,kin,5.145543989188669,VIPER
Q9UKI8,TLK1,kin,4.678154053087566,VIPER
Q86UE8,TLK2,kin,5.179402502144292,VIPER
Q13470,TNK1,kin,2.312418940490889,VIPER
Q07912,TNK2,kin,2.800704250226718,VIPER
Q5TCY1,TTBK1,kin,9.26801816497777,VIPER
Q6IQ55,TTBK2,kin,3.5353988074251803,VIPER
P42681,TXK,kin,2.254804030087497,VIPER
Q06418,TYRO3,kin,2.0151929702548532,VIPER
O75385,ULK1,kin,7.450623072723661,VIPER
Q8IYT8,ULK2,kin,3.818369326594365,VIPER
Q99986,VRK1,kin,2.82029076911294,VIPER
Q86Y07,VRK2,kin,2.3595293767301584,VIPER
P07947,YES1,kin,2.416500372215315,VIPER
Q9UIG0,BAZ1B,kin,-2.543063129256525,PhosphoScore
P06493,CDK1,kin,-2.385885893381918,PhosphoScore
Q9Y259,CHKB,kin,-2.6393540561683673,PhosphoScore
P45985,MAP2K4,kin,2.1378608895454616,PhosphoScore
Q8WYL5,SSH1,phos,2.440697189377227,PhosphoScore
Q96J92,WNK4,kin,-2.251107497434276,PhosphoScore
Q02952,AKAP12,other,-2.1724947947228572,PhosphoScore
Q9NRY4,ARHGAP35,other,2.290389764015871,PhosphoScore
Q8TDN4,CABLES1,other,-1.983766504757576,PhosphoScore
Q01518,CAP1,other,-2.062331037920765,PhosphoScore
P46108,CRK,other,-2.278804987666547,PhosphoScore
P26358,DNMT1,other,2.04229250585707,PhosphoScore
Q9H8V3,ECT2,other,-2.6355004923099643,PhosphoScore
P23588,EIF4B,other,2.605833239232375,PhosphoScore
Q9UQC2,GAB2,other,2.377456222441661,PhosphoScore
P09651,HNRNPA1,other,2.8812615273796083,PhosphoScore
P61978,HNRNPK,other,2.0885352721579045,PhosphoScore
P33991,MCM4,other,3.1347296901660586,PhosphoScore
P49768,PSEN1,other,-2.617860732433906,PhosphoScore
Q9BST9,RTKN,other,4.408188036723522,PhosphoScore
Q92504,SLC39A7,other,-2.3432848458516466,PhosphoScore
Q16623,STX1A,other,-2.361271254236369,PhosphoScore
O94874,UFL1,other,-2.1162809319384053,PhosphoScore
