UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,5.454164433503377,VIPER
P15336,ATF2,tf,2.2916046122617755,VIPER
P18850,ATF6,tf,4.542273487660232,VIPER
Q99626,CDX2,tf,-2.8994096791329333,VIPER
Q16254,E2F4,tf,5.747173357660096,VIPER
P18146,EGR1,tf,2.864255714923967,VIPER
P19419,ELK1,tf,3.3994741622097715,VIPER
Q92731,ESR2,tf,3.560218504380863,VIPER
O43524,FOXO3,tf,2.728210762170056,VIPER
P15976,GATA1,tf,-2.724992582567903,VIPER
P10070,GLI2,tf,-2.1690677226104027,VIPER
Q14526,HIC1,tf,-1.9886791879022814,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.712871474066831,VIPER
Q16665,HIF1A,tf,4.92125066059563,VIPER
P20823,HNF1A,tf,-5.69835493799689,VIPER
P01106,MYC,tf,10.46434386612117,VIPER
P04198,MYCN,tf,2.2759953681374068,VIPER
Q16236,NFE2L2,tf,3.2126200330264094,VIPER
Q14938,NFIX,tf,-2.06631246014281,VIPER
P26367,PAX6,tf,-2.5416686455863804,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,4.736298571910752,VIPER
P48382,RFX5,tf,3.9156865664922056,VIPER
Q13950,RUNX2,tf,2.2958117891495027,VIPER
Q13761,RUNX3,tf,-2.0021393738811444,VIPER
P84022,SMAD3,tf,4.224489785257514,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-2.798827306934811,VIPER
P08047,SP1,tf,2.3725274710393,VIPER
P11831,SRF,tf,2.656335078261216,VIPER
Q92754,TFAP2C,tf,2.539870666252229,VIPER
P19532,TFE3,tf,5.10098440325771,VIPER
P19484,TFEB,tf,4.382303893184101,VIPER
P04637,TP53,tf,2.8459127469399945,VIPER
Q15853,USF2,tf,2.679958356397833,VIPER
P11473,VDR,tf,2.711522085471633,VIPER
P03372,ESR1,tf,-2.0194443004032996,PhosphoScore
O14896,IRF6,tf,-2.0410374648027605,PhosphoScore
P06748,NPM1,tf,2.5753877121804605,PhosphoScore
P04150,NR3C1,tf,2.0080031461319434,PhosphoScore
P42229,STAT5A,tf,-2.406590400923482,PhosphoScore
P27037,ACVR2A,kin,-3.7904743554874263,VIPER
Q13705,ACVR2B,kin,-3.3291621499060122,VIPER
P36894,BMPR1A,kin,-4.526938976871678,VIPER
O00238,BMPR1B,kin,-4.951341058324993,VIPER
Q13873,BMPR2,kin,-2.110945913419143,VIPER
Q8TDC3,BRSK1,kin,3.309843842332569,VIPER
Q8IWQ3,BRSK2,kin,2.5549317432483027,VIPER
Q8IU85,CAMK1D,kin,3.1891153496394233,VIPER
Q13557,CAMK2D,kin,4.7697576958178916,VIPER
Q16566,CAMK4,kin,6.076418146718844,VIPER
P06493,CDK1,kin,-13.914180126276511,VIPER
Q15131,CDK10,kin,-7.747431741569368,VIPER
P211272,CDK11B,kin,-2.2920160118528563,VIPER
Q9NYV4,CDK12,kin,-2.8105041599508866,VIPER
Q14004,CDK13,kin,-2.557042047845563,VIPER
O94921,CDK14,kin,-2.5506583741249305,VIPER
Q00536,CDK16,kin,-4.439765003687243,VIPER
P24941,CDK2,kin,-12.124892123535703,VIPER
Q8IZL9,CDK20,kin,-2.5445719094762396,VIPER
Q00526,CDK3,kin,-10.556675930845792,VIPER
P11802,CDK4,kin,-5.3584121109723535,VIPER
Q00535,CDK5,kin,-11.003004138949862,VIPER
Q15078,CDK5R1,kin,-3.5920870445131885,VIPER
Q00534,CDK6,kin,-8.78014364205477,VIPER
P50750,CDK9,kin,-2.57799393875367,VIPER
O14757,CHEK1,kin,-2.007060942398298,VIPER
P49759,CLK1,kin,-2.4627412925002945,VIPER
P49760,CLK2,kin,-3.882668139743039,VIPER
P49761,CLK3,kin,-5.95632610788353,VIPER
P68400,CSNK2A1,kin,-2.4656863663748867,VIPER
SIGNOR-C16,CYCLINE_CDK2,kin,-2.8541143431167737,VIPER
P53355,DAPK1,kin,2.494859011702084,VIPER
Q9UIK4,DAPK2,kin,3.0293048789525057,VIPER
O43293,DAPK3,kin,3.3990479037017587,VIPER
Q08345,DDR1,kin,2.1736945963075454,VIPER
Q16832,DDR2,kin,2.7352974269085477,VIPER
Q9BY84,DUSP16,phos,2.965329191828626,VIPER
Q16828,DUSP6,phos,3.492592588987228,VIPER
Q16829,DUSP7,phos,4.104806495607224,VIPER
Q13202,DUSP8,phos,3.9589434025601093,VIPER
O00418,EEF2K,kin,-3.7468529768772054,VIPER+PhosphoScore
P25098,GRK2,kin,-5.218850848283164,VIPER
P35626,GRK3,kin,-3.345055578928636,VIPER
P34947,GRK5,kin,-2.001821324860829,VIPER
