UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,5.821299220299479,VIPER
P15336,ATF2,tf,2.4867058955335914,VIPER
P18850,ATF6,tf,4.823957879517449,VIPER
Q99626,CDX2,tf,-2.8096389866417226,VIPER
P49715,CEBPA,tf,1.9949197420970881,VIPER
Q16254,E2F4,tf,6.0736966268368535,VIPER
P19419,ELK1,tf,2.4011869970224198,VIPER
P03372,ESR1,tf,-0.36406121925015755,VIPER+PhosphoScore
Q92731,ESR2,tf,3.6947890848192864,VIPER
P14921,ETS1,tf,2.219003529255743,VIPER+PhosphoScore
P55317,FOXA1,tf,2.151459654567467,VIPER
O43524,FOXO3,tf,3.9480761135451643,VIPER
P15976,GATA1,tf,-2.8838932189472253,VIPER
P10070,GLI2,tf,-2.4957507621141395,VIPER
Q13547,HDAC1,tf,-2.0883553167699063,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.217831144109859,VIPER
Q16665,HIF1A,tf,5.383969612969254,VIPER
P20823,HNF1A,tf,-4.069148172696096,VIPER
P01106,MYC,tf,11.099065611158546,VIPER
Q13469,NFATC2,tf,-2.441574025114877,VIPER
Q16236,NFE2L2,tf,4.086349694691842,VIPER
P08651,NFIC,tf,2.372171580681032,VIPER
P46531,NOTCH1,tf,2.2712579686544716,VIPER
Q13285,NR5A1,tf,-2.523512011545598,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,6.55848674209989,VIPER
P48382,RFX5,tf,6.1061601990584595,VIPER
Q13761,RUNX3,tf,-2.1068111302185235,VIPER
P84022,SMAD3,tf,1.9813975862121986,VIPER
SIGNOR-C451,SOX17_POU5F1,tf,-2.74058357397271,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-4.104718768050741,VIPER
P08047,SP1,tf,3.4284111229385723,VIPER
P17947,SPI1,tf,2.4473702464722615,VIPER
P11831,SRF,tf,1.9710100366851189,VIPER
P42224,STAT1,tf,3.2501019132630287,VIPER
P40763,STAT3,tf,3.097176251691936,VIPER
P05549,TFAP2A,tf,2.4827228726902364,VIPER
Q92754,TFAP2C,tf,2.3280859625932426,VIPER
P19532,TFE3,tf,4.317601072027751,VIPER
P19484,TFEB,tf,5.281514898284473,VIPER
P04637,TP53,tf,3.2898447073036787,VIPER
P22415,USF1,tf,2.4922243030315694,VIPER
Q15853,USF2,tf,2.3191648340281374,VIPER
P11473,VDR,tf,2.2929226565325993,VIPER
O14896,IRF6,tf,-2.4934145389720337,PhosphoScore
P06748,NPM1,tf,2.6601049896671167,PhosphoScore
P49023,PXN,tf,2.365523392626616,PhosphoScore
Q12888,TP53BP1,tf,-2.195207559616554,PhosphoScore
Q2M2I8,AAK1,kin,-4.331662140281722,VIPER
P00519,ABL1,kin,4.6516573927156495,VIPER
P27037,ACVR2A,kin,-7.081306290755829,VIPER
Q13705,ACVR2B,kin,-6.022255015659055,VIPER
Q9UM73,ALK,kin,4.445211847977331,VIPER
Q96GD4,AURKB,kin,-1.6016553602124464,VIPER
P30530,AXL,kin,4.3423702638966395,VIPER
O14874,BCKDK,kin,3.588658313087425,VIPER
P11274,BCR,kin,2.379529204734034,VIPER
P51451,BLK,kin,3.671811507870939,VIPER
P36894,BMPR1A,kin,-6.5748133672387645,VIPER
O00238,BMPR1B,kin,-7.262349947746677,VIPER
Q13873,BMPR2,kin,-4.635323411417711,VIPER
P51813,BMX,kin,4.3638617061367295,VIPER
Q06187,BTK,kin,3.4327917545387687,VIPER
Q8IU85,CAMK1D,kin,2.205954919629706,VIPER
Q13554,CAMK2B,kin,-2.1803355361580286,VIPER
Q13557,CAMK2D,kin,6.692247681477531,VIPER
Q16566,CAMK4,kin,5.6986258964788705,VIPER
Q8N5S9,CAMKK1,kin,5.328620515242108,VIPER
Q96RR4,CAMKK2,kin,5.157863148974344,VIPER
P06493,CDK1,kin,-3.065930600895154,VIPER+PhosphoScore
Q15131,CDK10,kin,-9.334482832040482,VIPER
Q9NYV4,CDK12,kin,-4.370858335757928,VIPER
Q14004,CDK13,kin,-3.5684878429454163,VIPER
O94921,CDK14,kin,-2.897129876343145,VIPER
Q00536,CDK16,kin,-4.032682852900039,VIPER
P24941,CDK2,kin,-15.065834948429949,VIPER
Q00526,CDK3,kin,-14.422597073979967,VIPER
P11802,CDK4,kin,-7.233765988404126,VIPER
Q00535,CDK5,kin,-11.97315068915639,VIPER
Q00534,CDK6,kin,-10.336032341476752,VIPER
P50750,CDK9,kin,-3.2946212896915292,VIPER
O14757,CHEK1,kin,-1.3004509818419077,VIPER
P49759,CLK1,kin,-2.598499750878615,VIPER
P49760,CLK2,kin,-4.746484301550843,VIPER
P49761,CLK3,kin,-8.532999587200846,VIPER
P07333,CSF1R,kin,4.780893148788956,VIPER
P41240,CSK,kin,4.396787385623353,VIPER
P68400,CSNK2A1,kin,-4.718662496356026,VIPER
P19784,CSNK2A2,kin,-3.912447892628073,VIPER
SIGNOR-C16,CYCLINE_CDK2,kin,-3.8326689691743985,VIPER
P53355,DAPK1,kin,3.514179808196014,VIPER
Q08345,DDR1,kin,4.130495424336204,VIPER
Q16832,DDR2,kin,4.404849936133231,VIPER
Q9BY84,DUSP16,phos,2.3200603786620695,VIPER
Q16828,DUSP6,phos,2.748798333023109,VIPER
