UNIPROT,gene_name,mf,final_score,method
P10275,AR,tf,4.847454274813057,VIPER
P18850,ATF6,tf,4.69985960893837,VIPER
Q99626,CDX2,tf,-2.344712108241795,VIPER
Q16254,E2F4,tf,8.08255831111305,VIPER
P03372,ESR1,tf,-0.3102703148259127,VIPER+PhosphoScore
Q92731,ESR2,tf,4.462186226329154,VIPER
Q01543,FLI1,tf,-2.3386857433016135,VIPER
O43524,FOXO3,tf,2.523957147017544,VIPER
P15976,GATA1,tf,-3.013265080868593,VIPER
SIGNOR-C418,HIF_1_COMPLEX,tf,2.47597773850578,VIPER
Q16665,HIF1A,tf,5.210515797752234,VIPER
P20823,HNF1A,tf,-4.09554282459453,VIPER
P01106,MYC,tf,10.472985898553542,VIPER
P04198,MYCN,tf,2.294252175434367,VIPER
Q13469,NFATC2,tf,-2.024808390870506,VIPER
Q16236,NFE2L2,tf,4.005177570850974,VIPER
P24468,NR2F2,tf,-2.1409918481622006,VIPER
SIGNOR-C104,RFX_COMPLEX,tf,4.225368876336557,VIPER
P48382,RFX5,tf,3.906049081380585,VIPER
P84022,SMAD3,tf,3.0364335684265535,VIPER
SIGNOR-C451,SOX17_POU5F1,tf,-2.986831670018726,VIPER
SIGNOR-C73,SOX2_POU5F1,tf,-4.452858470774099,VIPER
P08047,SP1,tf,2.3979844635406353,VIPER
P42224,STAT1,tf,4.179735612523247,VIPER
Q92754,TFAP2C,tf,2.548518334590701,VIPER
P19532,TFE3,tf,3.935829105991371,VIPER
P19484,TFEB,tf,4.681304969668187,VIPER
P04637,TP53,tf,-0.10167067674978592,VIPER+PhosphoScore
P22415,USF1,tf,2.3309976513351582,VIPER
Q15853,USF2,tf,2.849892223064768,VIPER
P11473,VDR,tf,2.875072348365691,VIPER
Q9UER7,DAXX,tf,-1.9600232208384776,PhosphoScore
P00519,ABL1,kin,2.292017564235665,VIPER
P27037,ACVR2A,kin,-5.075951197022158,VIPER
Q13705,ACVR2B,kin,-2.854746599001785,VIPER
Q13315,ATM,kin,-2.43610135266926,VIPER
P36894,BMPR1A,kin,-6.657129569985863,VIPER
O00238,BMPR1B,kin,-5.795540113936996,VIPER
P15056,BRAF,kin,-2.1625034020048814,VIPER
Q06187,BTK,kin,2.099189106407179,VIPER
Q9UQM7,CAMK2A,kin,-2.570076715542811,VIPER
Q13554,CAMK2B,kin,-3.1946504530956727,VIPER
Q13555,CAMK2G,kin,-2.994324723419207,VIPER
P06493,CDK1,kin,-2.7274888193807687,VIPER
Q9BWU1,CDK19,kin,3.2759879373066596,VIPER
P24941,CDK2,kin,-3.134223447166758,VIPER
SIGNOR-C144,CDK5_CDK5R1,kin,-2.2909883044096215,VIPER
P49759,CLK1,kin,-4.360330004736691,VIPER
P49760,CLK2,kin,-4.917847834125682,VIPER
P49761,CLK3,kin,-4.535177331920231,VIPER
Q9HAZ1,CLK4,kin,-2.184584911278812,VIPER
P49674,CSNK1E,kin,-2.2107329547599432,VIPER
