UNIPROT,gene_name,difference,significant,logpval
P04217,A1BG,0.38736125131212296,NA,0.6984887859096613
P01023,A2M,0.45556681200929705,NA,0.6487015130551795
A8K2U0,A2ML1,-2.527625853768604,+,1.9885163342605585
Q9NRG9,AAAS,-0.04503883678404806,NA,1.0359236469288702
Q86V21,AACS,-0.6684281223169616,NA,1.4961396507987947
Q8N5Z0,AADAT,-0.5470072340428712,NA,1.4156262377799036
Q6PD74,AAGAB,0.7829671308403878,NA,0.43364641410777865
Q2M2I8,AAK1,0.3328513126930027,NA,0.7392465225886913
Q9H7C9,AAMDC,-0.33148856422752476,NA,1.259724522399679
Q13685,AAMP,0.7802416339094318,NA,0.4352486604253678
Q9Y312,AAR2,0.9643489515955104,NA,0.3348710064094443
Q5JTZ9,AARS2,0.6056054180584255,NA,0.5447768036565048
Q9BTE6,AARSD1,1.2031024827472567,NA,0.22893666476137756
Q9NRN7,AASDHPPT,0.12959737906695826,NA,0.896884976961245
Q9UDR5,AASS,-1.0762987380345286,NA,1.718206327127856
Q9NY61,AATF,-0.09825416436096417,NA,1.0782695264535773
P80404,ABAT,-0.7407219284105696,NA,1.541137939330772
O95477,ABCA1,-0.7120360732122576,NA,1.5235575616457617
Q86UK0,ABCA12,-0.2850869789779987,NA,1.2244224944239592
Q86UQ4,ABCA13,-0.467899685621873,NA,1.360143671678945
Q9BZC7,ABCA2,0.09415581891739488,NA,0.924985380194445
Q99758,ABCA3,0.2645776145725547,NA,0.7913348667355641
Q8N139,ABCA6,0.0581603635557465,NA,0.9536208925513737
O94911,ABCA8,-1.02882041622016,NA,1.6964359289354929
P08183,ABCB1,-0.19154832258011817,NA,1.1519039746041058
Q9NRK6,ABCB10,-0.0750193030245642,NA,1.0598006464238465
Q2M3G0,ABCB5,-0.2127931728843905,NA,1.1685117109530812
Q9NP58,ABCB6,0.6193010401364795,NA,0.5357180593765846
O75027,ABCB7,0.4282777739881,NA,0.6684488986154997
