gene_name	cluster
ARHGDIB	community_1
STARD3	community_1
RAPGEFL1	community_1
C1orf54	community_1
ERBB2	community_1
FAM83E	community_1
GRB7	community_1
FABP4	community_1
LPCAT2	community_1
PPP1R1B	community_1
HOTAIR	community_1
CFHR3	community_1
