gene_name	cluster
APLF	community_4
CALML5	community_4
MARCO	community_4
MMP1	community_4
PI3	community_4
KRT83	community_4
S100A2	community_4
PSAT1	community_4
LCN2	community_4
PKP1	community_4
KRT81	community_4
FDCSP	community_4
MTHFD1L	community_4
YJEFN3	community_4
S100A8	community_4
KRT6C	community_4
