gene_name	cluster
KCNJ3	community_7
CGA	community_7
CCDC170	community_7
ESR1	community_7
TPRG1	community_7
ADCY1	community_7
CYP2B6	community_7
CAPN8	community_7
NOVA1	community_7
AFF3	community_7
CYP2B7P	community_7
DACH1	community_7
SLC7A2	community_7
TFF1	community_7
PGR	community_7
CLEC3A	community_7
AGR3	community_7
MLPH	community_7
SCUBE2	community_7
FOXA1	community_7
PDZK1	community_7
