gene_name	cluster
FOXC1	community_2
TFCP2L1	community_2
CDKN2A	community_2
CDCA7	community_2
FOXM1	community_2
NUP88	community_2
CRABP1	community_2
GABRP	community_2
ELF5	community_2
S100A1	community_2
SNORD36A	community_2
