run	community	jaccard_index	intersection	sign_length
run_35	CL1	0.3333333333333333	7	12
run_35	CL2	0.06666666666666667	1	11
run_35	CL3	0.23684210526315788	9	28
run_35	CL4	0.34615384615384615	9	16
run_35	CL5	0.28125	9	27
run_35	CL6	0.15384615384615385	2	11
run_35	CL7	0.25	6	21
run_36	CL1	0.19047619047619047	4	12
run_36	CL2	0.21052631578947367	4	11
run_36	CL3	0.26666666666666666	12	28
run_36	CL4	0.2857142857142857	10	16
run_36	CL5	0.2777777777777778	10	27
run_36	CL6	0.2	3	11
run_36	CL7	0.40625	13	21
run_37	CL1	0.35294117647058826	6	12
run_37	CL2	0.43478260869565216	10	11
run_37	CL3	0.14	7	28
run_37	CL4	0.125	2	16
run_37	CL5	0.03571428571428571	1	27
run_37	CL6	0.13333333333333333	2	11
run_37	CL7	0.39285714285714285	11	21
run_38	CL1	0.22727272727272727	5	12
run_38	CL2	0.4375	7	11
run_38	CL3	0.1206896551724138	7	28
run_38	CL4	0.3225806451612903	10	16
run_38	CL5	0.3157894736842105	12	27
run_38	CL6	0.29411764705882354	5	11
run_38	CL7	0.34210526315789475	13	21
run_39	CL1	0.125	2	12
run_39	CL2	0.2857142857142857	6	11
run_39	CL3	0.25	9	28
run_39	CL4	0.32142857142857145	9	16
run_39	CL5	0.325	13	27
run_39	CL6	0.1111111111111111	2	11
run_39	CL7	0.3448275862068966	10	21
run_40	CL1	0.10810810810810811	4	12
run_40	CL2	0.3157894736842105	6	11
run_40	CL3	0.17857142857142858	10	28
run_40	CL4	0.35	7	16
run_40	CL5	0.2	7	27
run_40	CL6	0	0	11
run_40	CL7	0.3793103448275862	11	21
run_41	CL1	0.4375	7	12
run_41	CL2	0.3333333333333333	7	11
run_41	CL3	0.10416666666666667	5	28
run_41	CL4	0.17391304347826086	4	16
run_41	CL5	0.10810810810810811	4	27
run_41	CL6	0.06666666666666667	1	11
run_41	CL7	0.38095238095238093	8	21
run_42	CL1	0.3333333333333333	7	12
run_42	CL2	0.4	6	11
run_42	CL3	0.15	6	28
run_42	CL4	0.20833333333333334	5	16
run_42	CL5	0.34782608695652173	16	27
run_42	CL6	0.15789473684210525	3	11
run_42	CL7	0.36666666666666664	11	21
run_43	CL1	0.4375	7	12
run_43	CL2	0.4166666666666667	10	11
run_43	CL3	0.19642857142857142	11	28
run_43	CL4	0.47368421052631576	9	16
run_43	CL5	0.09375	3	27
run_43	CL6	0.13636363636363635	3	11
run_43	CL7	0.4074074074074074	11	21
run_44	CL1	0.35	7	12
run_44	CL2	0.23529411764705882	4	11
run_44	CL3	0.16129032258064516	10	28
run_44	CL4	0.32	8	16
run_44	CL5	0.30434782608695654	14	27
run_44	CL6	0.20588235294117646	7	11
run_44	CL7	0.37037037037037035	10	21
run_45	CL1	0.06666666666666667	1	12
run_45	CL2	0.5384615384615384	7	11
run_45	CL3	0.18867924528301888	10	28
run_45	CL4	0.25	5	16
run_45	CL5	0.3333333333333333	11	27
run_45	CL6	0.21428571428571427	3	11
run_45	CL7	0.2962962962962963	8	21
run_46	CL1	0.11538461538461539	3	12
run_46	CL2	0.2777777777777778	5	11
run_46	CL3	0.13513513513513514	5	28
run_46	CL4	0.21052631578947367	4	16
run_46	CL5	0.2972972972972973	11	27
run_46	CL6	0.1875	3	11
run_46	CL7	0.4	10	21
run_47	CL1	0.2857142857142857	4	12
run_47	CL2	0.2	4	11
run_47	CL3	0.12280701754385964	7	28
run_47	CL4	0.2972972972972973	11	16
run_47	CL5	0.27586206896551724	16	27
run_47	CL6	0	0	11
run_47	CL7	0.2903225806451613	9	21
run_48	CL1	0.18518518518518517	5	12
run_48	CL2	0.23529411764705882	4	11
run_48	CL3	0.19047619047619047	8	28
run_48	CL4	0.3333333333333333	7	16
run_48	CL5	0.3695652173913043	17	27
run_48	CL6	0.13333333333333333	2	11
run_48	CL7	0.5	17	21
run_49	CL1	0.2	6	12
run_49	CL2	0.5294117647058824	9	11
run_49	CL3	0.19230769230769232	10	28
run_49	CL4	0.3225806451612903	10	16
run_49	CL5	0.4222222222222222	19	27
run_49	CL6	0.3333333333333333	6	11
run_49	CL7	0.3170731707317073	13	21
run_50	CL1	0.2727272727272727	6	12
run_50	CL2	0.375	9	11
run_50	CL3	0.23529411764705882	12	28
run_50	CL4	0.36666666666666664	11	16
run_50	CL5	0.35135135135135137	13	27
run_50	CL6	0.14285714285714285	2	11
run_50	CL7	0.19230769230769232	5	21
