run_id	pvalue_KM	n_sign_KM	enriching_signatures	p_value_adj_KM
shuffling_10perc_36	0.09325255747671081	7	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3;Comm_6	0.2434927889669671
shuffling_10perc_37	4.769038146628846e-4	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.022414479289155576
shuffling_10perc_38	0.13775382562344718	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.26976790851258403
shuffling_10perc_39	0.21976944499616438	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.3338302730497586
shuffling_10perc_40	0.021923992064405835	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.19486760830739444
shuffling_10perc_41	0.2633150071981364	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.3535944382374974
shuffling_10perc_42	0.014560533859906103	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.1761783794763047
shuffling_10perc_43	0.19973098175537202	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.32370193594836155
shuffling_10perc_44	0.04454263635221993	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.22798447401579405
shuffling_10perc_45	0.18470784876385188	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.31324166104797563
shuffling_10perc_46	0.08008788147771771	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.24126901667783263
shuffling_10perc_47	0.0751749702436344	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.24126901667783263
shuffling_10perc_48	0.020652048035086173	6	Comm_3;Comm_5;Comm_2;Comm_4;Comm_7;Comm_6	0.19486760830739444
shuffling_10perc_49	0.07197297438397053	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.24126901667783263
shuffling_10perc_50	0.2734075070990808	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.36270592675644187
shuffling_15perc_1	0.057735819417895844	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.2349779913577691
shuffling_15perc_2	0.057103390016202876	6	Comm_3;Comm_5;Comm_1;Comm_7;Comm_2;Comm_4	0.2349779913577691
shuffling_15perc_3	0.18926684971737487	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.3160824024676355
shuffling_15perc_4	0.0353594295378496	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.22798447401579405
shuffling_15perc_5	0.29936616599517785	6	Comm_7;Comm_5;Comm_3;Comm_6;Comm_2;Comm_4	0.383059677338445
shuffling_15perc_6	0.07413195661436706	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.24126901667783263
shuffling_15perc_7	0.21168142922551295	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.33006251286821686
shuffling_15perc_8	0.027145860030786527	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.19846639889175038
shuffling_15perc_9	0.10320904242679882	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.24967481587071183
shuffling_15perc_10	0.059559361529701066	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.2389637797959957
shuffling_15perc_11	0.33173400900129724	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.41498284776207905
shuffling_15perc_12	0.18213577909237294	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1;Comm_6	0.3126903883737172
shuffling_15perc_13	0.06558010309250845	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4;Comm_6	0.24126901667783263
shuffling_15perc_14	0.3535649873790804	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.42979671419645016
shuffling_15perc_15	0.16481713614875487	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.29826544536148586
shuffling_15perc_16	0.11314796987638327	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.25851168117590345
shuffling_15perc_17	0.14568440995458806	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.2754607521555142
shuffling_15perc_18	0.29888279711091154	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.383059677338445
shuffling_15perc_19	0.7449442396322696	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.7957358923344698
shuffling_15perc_20	0.2976682387129183	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.383059677338445
shuffling_15perc_21	0.03722220467227751	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.22798447401579405
shuffling_15perc_22	0.06892052297089334	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.24126901667783263
shuffling_15perc_23	0.2791902926611736	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.36595062265149847
shuffling_15perc_24	0.3881127146852077	6	Comm_7;Comm_5;Comm_2;Comm_4;Comm_3;Comm_6	0.4562797940502367
shuffling_15perc_25	0.09462468043025743	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.24513007765003694
shuffling_15perc_26	0.08372586578694341	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.24126901667783263
shuffling_15perc_27	0.1233137570022108	6	Comm_5;Comm_3;Comm_7;Comm_2;Comm_4;Comm_6	0.2629682689110504
shuffling_15perc_28	0.021825538931147113	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.19486760830739444
