gene_ID,gene_name,difference,tstat,logpval,significant
A1BG,A1BG,0.00326878783655131,0.00326878783655131,0.9973918892972755,NA
A1BG-AS1,A1BG-AS1,0.01734723049892573,0.01734723049892573,0.9861596067723317,NA
A2M,A2M,1.151940252142286,1.151940252142286,0.24934562609172045,NA
A2ML1,A2ML1,-1.6803511334034076,-1.6803511334034076,1.9071109822331946,NA
A2MP1,A2MP1,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
A3GALT2,A3GALT2,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
A4GALT,A4GALT,0.25056391515426,0.25056391515426,0.8021512833744945,NA
AAAS,AAAS,0.6943423192611077,0.6943423192611077,0.4874675574470271,NA
AACS,AACS,0.13893966517143352,0.13893966517143352,0.8894978266565303,NA
AACSP1,AACSP1,-2.64360788963387,-2.64360788963387,1.991797238082765,+
AADAC,AADAC,-1.1397712994042335,-1.1397712994042335,1.7456184062221136,NA
AADACL2-AS1,AADACL2-AS1,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
AADACP1,AADACP1,-2.3740138037084004,-2.3740138037084004,1.9824041073420005,+
AADAT,AADAT,-0.29804224937426765,-0.29804224937426765,1.234329082244125,NA
AAED1,AAED1,0.01880362111917142,0.01880362111917142,0.984997765099155,NA
AAGAB,AAGAB,0.7387784152966022,0.7387784152966022,0.4600415606889759,NA
AAK1,AAK1,-0.20942897119132223,-0.20942897119132223,1.1658866215571342,NA
AAMDC,AAMDC,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
AAMP,AAMP,1.0027087599211166,1.0027087599211166,0.31600140209065186,NA
AANAT,AANAT,-1.9268371548209795,-1.9268371548209795,1.9460000724986257,NA
AAR2,AAR2,0.7030482987465758,0.7030482987465758,0.48202565045025814,NA
AARD,AARD,-0.08722161603471072,-0.08722161603471072,1.0695046422785275,NA
AARS,AARS,0.8764558752638227,0.8764558752638227,0.38078225404565597,NA
AARS2,AARS2,-0.08288480840997932,-0.08288480840997932,1.0660568663939491,NA
AARSD1,AARSD1,0.4966615657397668,0.4966615657397668,0.619427729978795,NA
AASDH,AASDH,0.3613466950009447,0.3613466950009447,0.7178402908658008,NA
AASDHPPT,AASDHPPT,0.5645940971152243,0.5645940971152243,0.5723498811886949,NA
AASS,AASS,-0.5828151619862973,-0.5828151619862973,1.43998226298796,NA
AATF,AATF,0.8361624014370267,0.8361624014370267,0.40306354704941755,NA
AATK,AATK,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
ABAT,ABAT,0.6541783023783335,0.6541783023783335,0.5129969388137929,NA
ABCA1,ABCA1,-0.02239605131577728,-0.02239605131577728,1.017867969843328,NA
ABCA10,ABCA10,-0.4599928863455822,-0.4599928863455822,1.3544786734479417,NA
ABCA11P,ABCA11P,0.7633105061887397,0.7633105061887397,0.4452782378614663,NA
ABCA12,ABCA12,-0.5038464261329786,-0.5038464261329786,1.3856306996926095,NA
ABCA13,ABCA13,-3.1270001186113983,-3.1270001186113983,1.9982340014387385,+
ABCA17P,ABCA17P,-2.058624323835207,-2.058624323835207,1.9604697592274094,+
ABCA2,ABCA2,0.2294947975147066,0.2294947975147066,0.8184843637217036,NA
ABCA3,ABCA3,0.2780411515228944,0.2780411515228944,0.7809807693452995,NA
ABCA4,ABCA4,-1.315768014801917,-1.315768014801917,1.8117480821844183,NA
ABCA5,ABCA5,-0.4599928863455822,-0.4599928863455822,1.3544786734479417,NA
ABCA6,ABCA6,-0.341475054093593,-0.341475054093593,1.2672540185301773,NA
ABCA7,ABCA7,-0.28360780011583314,-0.28360780011583314,1.2232890411633577,NA
ABCA8,ABCA8,-0.5567943162379088,-0.5567943162379088,1.422332032337104,NA
ABCA9,ABCA9,-0.3741952966951116,-0.3741952966951116,1.2917409770573387,NA
ABCB1,ABCB1,-1.021738930692326,-1.021738930692326,1.6930955199309514,NA
ABCB10,ABCB10,0.17237192096507217,0.17237192096507217,0.8631451455817477,NA
ABCB11,ABCB11,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
ABCB4,ABCB4,-1.2500362514748309,-1.2500362514748309,1.788713694963695,NA
ABCB5,ABCB5,-2.2033895514876227,-2.2033895514876227,1.9724326960042835,+
ABCB6,ABCB6,0.1781974834460548,0.1781974834460548,0.8585678860140145,NA
ABCB7,ABCB7,0.2338963336114489,0.2338963336114489,0.815065459629646,NA
