gene_ID,gene_name,difference,tstat,logpval,significant
A1BG,A1BG,0.4631212977813853,0.4631212977813853,0.6432774248115705,NA
A1BG-AS1,A1BG-AS1,0.16202057818140805,0.16202057818140805,0.8712896489264508,NA
A2M,A2M,0.9625100484606792,0.9625100484606792,0.3357934580818931,NA
A2ML1,A2ML1,-2.1617618105117526,-2.1617618105117526,1.9693634594691956,+
A2MP1,A2MP1,-0.8626921950265511,-0.8626921950265511,1.611693275195,NA
A3GALT2,A3GALT2,1.072180909329499,1.072180909329499,0.28363878337318005,NA
A4GALT,A4GALT,0.32781464857184706,0.32781464857184706,0.7430518108571107,NA
AAAS,AAAS,0.6588936673880145,0.6588936673880145,0.5099640526417519,NA
AACS,AACS,0.1784023261047408,0.1784023261047408,0.858407022642031,NA
AACSP1,AACSP1,-0.8321448771439196,-0.8321448771439196,1.5946728264777188,NA
AADAC,AADAC,-0.2510270769531539,-0.2510270769531539,1.1982068250847326,NA
AADACL2-AS1,AADACL2-AS1,-0.6323294801704714,-0.6323294801704714,1.472828396141463,NA
AADACP1,AADACP1,-0.3248198134853147,-0.3248198134853147,1.254682552012997,NA
AADAT,AADAT,0.29657851861931317,0.29657851861931317,0.7667883130223454,NA
AAED1,AAED1,0.3883103173198035,0.3883103173198035,0.6977864030293801,NA
AAGAB,AAGAB,0.9614918045312582,0.9614918045312582,0.33630494424712415,NA
AAK1,AAK1,-0.3980435313510342,-0.3980435313510342,1.30940190216438,NA
AAMDC,AAMDC,1.086735807850047,1.086735807850047,0.27715358415698926,NA
AAMP,AAMP,1.0050067583385751,1.0050067583385751,0.31489359558460894,NA
AANAT,AANAT,-0.6323294801704714,-0.6323294801704714,1.472828396141463,NA
AAR2,AAR2,0.6974072466008225,0.6974072466008225,0.4855479677737293,NA
AARD,AARD,-1.4994540311250906,-1.4994540311250906,1.8662441143912307,NA
AARS,AARS,1.486336653446078,1.486336653446078,0.13719009623640632,NA
AARS2,AARS2,-0.1176970189007272,-0.1176970189007272,1.0936922710638701,NA
AARSD1,AARSD1,0.7832092718299787,0.7832092718299787,0.4335042310681511,NA
AASDH,AASDH,0.3733660902380063,0.3733660902380063,0.7088759937981706,NA
AASDHPPT,AASDHPPT,0.5585966403400413,0.5585966403400413,0.5764370334167749,NA
AASS,AASS,0.5576981898140815,0.5576981898140815,0.5770504939904522,NA
AATF,AATF,0.7697325139405824,0.7697325139405824,0.4414585789492105,NA
AATK,AATK,-0.7263074051858612,-0.7263074051858612,1.5323496592890744,NA
ABAT,ABAT,-0.3997206389994925,-0.3997206389994925,1.3106377110968932,NA
ABCA1,ABCA1,0.400798779630644,0.400798779630644,0.688568277448337,NA
ABCA10,ABCA10,0.4018170235600651,0.4018170235600651,0.687818692703306,NA
ABCA11P,ABCA11P,0.22038991401792649,0.22038991401792649,0.8255674997669711,NA
ABCA12,ABCA12,-1.4731294307144702,-1.4731294307144702,1.859283861000183,NA
ABCA13,ABCA13,-0.4743818777067475,-0.4743818777067475,1.3647723862772072,NA
ABCA17P,ABCA17P,-1.987642098580753,-1.987642098580753,1.9531487131606926,+
ABCA2,ABCA2,-0.07001924432312985,-0.07001924432312985,1.0558216575259451,NA
ABCA3,ABCA3,-1.5667180271686107,-1.5667180271686107,1.8828193848316896,NA
ABCA4,ABCA4,1.002311406760696,1.002311406760696,0.3161932150777618,NA
ABCA5,ABCA5,0.4018170235600651,0.4018170235600651,0.687818692703306,NA
ABCA6,ABCA6,-0.6441890271131402,-0.6441890271131402,1.4805471345285144,NA
ABCA7,ABCA7,-0.01781926876486845,-0.01781926876486845,1.0142169670513865,NA
ABCA8,ABCA8,0.4018170235600651,0.4018170235600651,0.687818692703306,NA
ABCA9,ABCA9,0.4018170235600651,0.4018170235600651,0.687818692703306,NA
ABCB1,ABCB1,-0.7294819303775857,-0.7294819303775857,1.5342930829696706,NA
ABCB10,ABCB10,-0.272410199470996,-0.272410199470996,1.2146933688952908,NA
ABCB11,ABCB11,-2.2494805301962892,-2.2494805301962892,1.9755180598314208,+
ABCB4,ABCB4,-0.546767041748238,-0.546767041748238,1.415461211339647,NA
ABCB5,ABCB5,-2.477537222035739,-2.477537222035739,1.986770739087749,+
ABCB6,ABCB6,0.405860050926884,0.405860050926884,0.6848454325222498,NA
ABCB7,ABCB7,0.2622876568785161,0.2622876568785161,0.7930996773965746,NA
ABCB8,ABCB8,0.3499764282121875,0.3499764282121875,0.726356387893406,NA
ABCB9,ABCB9,-0.4164917154840744,-0.4164917154840744,1.3229497716982288,NA
ABCC1,ABCC1,0.3458435557927727,0.3458435557927727,0.729460289822558,NA
ABCC10,ABCC10,0.3657292607673484,0.3657292607673484,0.7145671096317318,NA
ABCC11,ABCC11,-1.3023938824312524,-1.3023938824312524,1.8072182272192407,NA
ABCC12,ABCC12,-2.205995524739837,-2.205995524739837,1.9726156869435993,+
ABCC13,ABCC13,-0.6323294801704714,-0.6323294801704714,1.472828396141463,NA
ABCC2,ABCC2,-1.648776508539601,-1.648776508539601,1.9008065707134747,NA
ABCC3,ABCC3,0.9713747603168152,0.9713747603168152,0.33136169246751296,NA
ABCC4,ABCC4,0.2696250028405206,0.2696250028405206,0.7874487630132807,NA
ABCC5,ABCC5,0.7050740244223457,0.7050740244223457,0.4807641706250481,NA
ABCC6,ABCC6,-2.102404179096678,-2.102404179096678,1.9644821145728408,+
ABCC6P1,ABCC6P1,-0.6323294801704714,-0.6323294801704714,1.472828396141463,NA
ABCC6P2,ABCC6P2,-1.723916920860701,-1.723916920860701,1.9152771578016052,NA
ABCC8,ABCC8,-0.6323294801704714,-0.6323294801704714,1.472828396141463,NA
ABCC9,ABCC9,-0.3254786772043518,-0.3254786772043518,1.2551811820085248,NA
ABCD1,ABCD1,-0.09769152052269012,-0.09769152052269012,1.0778227510081166,NA
ABCD2,ABCD2,-2.154065084339364,-2.154065084339364,1.9687649317761657,+
ABCD3,ABCD3,0.48815811910479695,0.48815811910479695,0.6254378469212523,NA
ABCD4,ABCD4,0.7936911946328422,0.7936911946328422,0.42737522762808083,NA
ABCE1,ABCE1,0.6139411927391619,0.6139411927391619,0.5392541883160472,NA
ABCF1,ABCF1,0.7993514329463887,0.7993514329463887,0.4240866634354665,NA
ABCF2,ABCF2,0.6153188168789668,0.6153188168789668,0.5383441931992383,NA
ABCF3,ABCF3,0.6622179343340658,0.6622179343340658,0.5078315620527618,NA
ABCG1,ABCG1,-0.18553003361068823,-0.18553003361068823,1.1471866742571288,NA
ABCG2,ABCG2,-1.232973605125429,-1.232973605125429,1.7824143880066403,NA
ABCG4,ABCG4,-1.4116155180370924,-1.4116155180370924,1.8419367993275921,NA
ABCG8,ABCG8,-0.6323294801704714,-0.6323294801704714,1.472828396141463,NA
ABHD10,ABHD10,0.3140084588229322,0.3140084588229322,0.7535146142618436,NA
ABHD11,ABHD11,0.5472462153620831,0.5472462153620831,0.5842095893094148,NA
ABHD12,ABHD12,0.712381422033485,0.712381422033485,0.4762286165501275,NA
ABHD12B,ABHD12B,-0.6323294801704714,-0.6323294801704714,1.472828396141463,NA
ABHD13,ABHD13,-0.00239586806922599,-0.00239586806922599,1.00191162431331,NA
ABHD14A,ABHD14A,0.7741349215177851,0.7741349215177851,0.43885100815788963,NA
ABHD14A-ACY1,ABHD14A-ACY1,0.7741349215177851,0.7741349215177851,0.43885100815788963,NA
ABHD14B,ABHD14B,0.5317629179647101,0.5317629179647101,0.5948902087600172,NA
ABHD15,ABHD15,-0.2574959207400641,-0.2574959207400641,1.2032040360528131,NA
ABHD16A,ABHD16A,0.7187604207677992,0.7187604207677992,0.47228854810468857,NA
ABHD17A,ABHD17A,0.8813799659665139,0.8813799659665139,0.37811219739247487,NA
ABHD17B,ABHD17B,-0.26935546768273283,-0.26935546768273283,1.212343848249736,NA
ABHD17C,ABHD17C,-0.07729669358340381,-0.07729669358340381,1.0616124788221946,NA
ABHD2,ABHD2,-0.05357759969806638,-0.05357759969806638,1.042728296276095,NA
ABHD3,ABHD3,0.09538549750605996,0.09538549750605996,0.9240086348668706,NA
ABHD4,ABHD4,0.2692057259284061,0.2692057259284061,0.787771374222316,NA
ABHD5,ABHD5,0.2755248279609897,0.2755248279609897,0.7829130537344555,NA
ABHD6,ABHD6,0.1284185285105134,0.1284185285105134,0.8978177689268422,NA
ABHD8,ABHD8,0.10988049932487724,0.10988049932487724,0.9125041481693461,NA
ABI1,ABI1,0.5102300536925415,0.5102300536925415,0.6098902993707543,NA
ABI2,ABI2,0.351683484211511,0.351683484211511,0.7250756479896121,NA
ABI3,ABI3,0.1976890640620101,0.1976890640620101,0.8432883464733442,NA
ABI3BP,ABI3BP,-0.6601814464752237,-0.6601814464752237,1.4908626028973395,NA
ABL1,ABL1,0.1981083409741246,0.1981083409741246,0.842960299017024,NA
ABL2,ABL2,0.07403232333908329,0.07403232333908329,0.9409846655169909,NA
ABLIM1,ABLIM1,-0.21919197998331352,-0.21919197998331352,1.1734994973653154,NA
ABLIM2,ABLIM2,-1.3461184746946266,-1.3461184746946266,1.821735688567071,NA
ABLIM3,ABLIM3,0.07909359463532324,0.07909359463532324,0.9369581782941796,NA
