diff	lwr	upr	p adj	gene_name	cluster	mean_exp_clus	comparison
0.763467133921206	0.454691900098783	1.072242367743629	3.088492599778725e-6	APLF	Comm_4	0.01153112243780477	Comm_4-background
1.37382970505149	0.7052923227943967	2.042367087308584	8.49862449712191e-5	CALML5	Comm_4	1.378363685252423	Comm_4-background
0.9419834265390942	0.4724782634904569	1.411488589587731	1.218232522658402e-4	MARCO	Comm_4	0.3862775219408517	Comm_4-background
0.9379660734734853	0.4429574655888219	1.432974681358149	2.719853821983031e-4	MMP1	Comm_4	0.8040838890302152	Comm_4-background
0.8277615886140067	0.3771264991952524	1.278396678032761	4.07872184225444e-4	PI3	Comm_4	0.04817499070814642	Comm_4-background
1.212849446046999	0.5038397115498257	1.921859180544173	9.562933912153904e-4	KRT83	Comm_4	0.2092692773836348	Comm_4-background
0.8753605029643634	0.3207236800563481	1.429997325872379	0.002231197860605327	S100A2	Comm_4	0.8680894495203717	Comm_4-background
0.7074627472604605	0.2591415303311126	1.155783964189808	0.002234424697329151	PSAT1	Comm_4	0.2584790005916652	Comm_4-background
0.7255293556579957	0.2575740924224967	1.193484618893495	0.002649918444266874	LCN2	Comm_4	0.5486063966610804	Comm_4-background
0.7058214636903001	0.236077132274673	1.175565795105927	0.003543649147706662	PKP1	Comm_4	0.03330901194921675	Comm_4-background
0.8518055659311783	0.2790585661133566	1.424552565749	0.003884197088162011	KRT81	Comm_4	0.4030979631844275	Comm_4-background
1.005823052748464	0.3210802663592766	1.69056583913765	0.004330381311659859	FDCSP	Comm_4	0.9130354228456194	Comm_4-background
0.763740567939302	0.2320679241807042	1.2954132116979	0.005236780139635022	MTHFD1L	Comm_4	1.268006159379996	Comm_4-background
0.8594930640104483	0.2569375255720338	1.462048602448863	0.005551915124351159	YJEFN3	Comm_4	1.967560319534863	Comm_4-background
0.7527972003247586	0.2086236699892248	1.296970730660292	0.007102757709319008	S100A8	Comm_4	1.37806800821228	Comm_4-background
0.9076180355265331	0.2224776924177939	1.592758378635272	0.009850709800835022	KRT6C	Comm_4	0.9205631440295803	Comm_4-background
